Date,Shell,AstraZeneca,HSBC Holdings,Unilever Group,BP,Diageo,Rio Tinto Group,Glencore,British American Tobacco,GlaxoSmithKline,FTSE 100
2012-01-31,5681.60009765625,3054.5,2917.0,470.8500061035156,1402.0,411.20001220703125,1420.3743896484375,529.7000122070312,3805.0,2240.5,2046.0
2012-02-01,5790.7001953125,3089.5,2996.5,483.0,1432.0,431.75,1434.9810791015625,541.9000244140625,3912.0,2268.5,2085.0
2012-02-02,5796.10009765625,3069.5,2988.0,477.8999938964844,1429.5,461.70001220703125,1406.2713623046875,545.7000122070312,3980.5,2265.0,1994.0
2012-02-03,5901.10009765625,3010.0,3043.0,484.5,1461.0,482.54998779296875,1426.41845703125,559.5,3988.0,2261.0,2029.0
2012-02-06,5892.2001953125,2997.0,3069.0,489.54998779296875,1474.0,460.75,1429.9443359375,557.5,3946.0,2257.0,2021.0
2012-02-07,5890.2998046875,3000.0,3092.5,486.5,1474.0,443.25,1416.3448486328125,562.0,3869.5,2282.5,2042.0
2012-02-08,5875.89990234375,3010.0,3082.5,489.75,1461.5,434.45001220703125,1402.74560546875,565.5,3873.5,2287.5,2029.0
2012-02-09,5895.5,2997.5,3096.5,493.3999938964844,1468.0,442.95001220703125,1419.366943359375,568.0,3815.0,2290.5,2049.0
2012-02-10,5852.39990234375,2979.0,3109.0,490.29998779296875,1483.5,435.20001220703125,1421.3817138671875,557.5999755859375,3772.0,2284.0,2051.0
2012-02-13,5905.7001953125,3012.5,3129.5,496.0,1503.0,429.25,1443.5435791015625,564.4000244140625,3845.5,2296.5,2075.0
2012-02-14,5899.89990234375,3017.5,3147.0,494.79998779296875,1509.5,423.54998779296875,1450.5950927734375,561.5,3727.5,2331.5,2080.0
2012-02-15,5892.2001953125,2898.0,3145.0,487.3999938964844,1506.5,422.0,1431.455322265625,575.9000244140625,3683.0,2301.0,2055.0
2012-02-16,5885.39990234375,2856.0,3148.0,487.54998779296875,1500.0,426.6000061035156,1432.96630859375,573.5999755859375,3633.5,2294.0,2070.0
2012-02-17,5905.10009765625,2852.5,3115.0,488.95001220703125,1498.5,430.0,1424.40380859375,577.7000122070312,3622.0,2293.0,2063.0
2012-02-20,5945.2998046875,2843.5,3113.5,499.25,1498.0,436.45001220703125,1417.352294921875,581.7000122070312,3706.0,2286.0,2069.0
2012-02-21,5928.2001953125,2841.5,3114.0,497.70001220703125,1483.5,438.3500061035156,1423.3963623046875,579.5,3699.5,2303.5,2076.0
2012-02-22,5916.60009765625,2838.0,3133.0,496.95001220703125,1500.5,440.3500061035156,1419.366943359375,575.5999755859375,3662.5,2309.0,2089.0
